CustomerID,Gender,Age,AnnualIncome,SpendingScore,Profession,WorkExperience,FamilySize
545,Female,33,88763.0,0.01,Entertainment,1,1
772,Male,56,104600.0,0.57,Entertainment,6,3
1420,Female,55,75033.0,0.3,Engineer,5,5
1042,Male,43,187841.0,0.38,Artist,1,4
1790,Female,6,52648.0,0.02,Artist,5,2
760,Female,46,62628.0,0.64,Entertainment,8,6
383,Male,34,91503.0,0.26,Artist,0,6
1104,Female,99,103706.0,0.5,Entertainment,1,2
974,Female,12,87365.0,0.03,Marketing,1,2
353,Female,51,72303.0,0.98,Lawyer,7,1
1606,Female,52,121172.0,0.97,Healthcare,5,4
1826,Male,7,189709.0,0.18,Artist,6,6
1037,Female,19,178217.0,0.38,Marketing,0,3
1108,Male,36,187305.0,0.85,Engineer,6,7
495,Female,34,135115.0,0.54,Entertainment,1,7
394,Female,86,163463.0,0.31,Artist,9,4
1547,Female,61,180341.0,0.75,Healthcare,1,3
465,Male,56,53231.0,0.41,Marketing,0,5
887,Female,95,76646.0,0.61,Artist,0,1
1194,Female,16,157588.0,0.76,Executive,2,6
367,Female,60,130898.0,0.3,Artist,1,1
1894,Female,68,173047.0,0.17,Healthcare,0,3
1874,Female,44,173682.0,0.89,Artist,12,6
745,Male,16,125836.0,0.69,Healthcare,1,4
530,Male,48,115832.0,0.92,Artist,2,2
803,Female,62,133822.0,0.78,Marketing,0,4
1224,Male,74,184838.0,0.18,,8,5
1979,Male,84,104589.0,0.85,Artist,10,2
1906,Female,52,164038.0,0.53,,5,4
1700,Male,6,170226.0,0.31,Lawyer,0,3
1545,Female,27,115438.0,0.37,Artist,0,6
1314,Male,4,96693.0,0.28,Entertainment,0,4
307,Female,63,165052.0,0.12,Artist,4,2
1667,Male,95,137206.0,0.04,Artist,0,4
863,Female,12,170319.0,0.46,Artist,8,7
1567,Female,73,68161.0,0.23,Doctor,1,2
531,Female,47,104834.0,0.44,Artist,0,7
655,Female,3,158549.0,0.98,Executive,0,3
1260,Male,47,52152.0,0.17,Artist,0,3
234,Female,78,3000.0,0.14,Healthcare,0,4
121,Male,27,36000.0,0.56,Executive,0,3
1698,Male,70,80160.0,0.1,Artist,8,5
950,Female,64,157207.0,0.52,Healthcare,0,4
618,Male,29,135931.0,0.74,Lawyer,5,1
1179,Female,38,161130.0,0.98,Artist,8,3
308,Female,61,120487.0,0.14,Doctor,0,2
136,Female,29,92000.0,0.88,Executive,5,5
555,Female,16,172051.0,0.62,Healthcare,1,3
1674,Male,15,128573.0,0.97,Executive,1,1
584,Female,71,177359.0,0.56,Doctor,6,2
1641,Female,47,124194.0,0.32,Doctor,1,7
671,Male,54,59163.0,1.0,Marketing,3,3
835,Female,3,147548.0,0.45,Executive,4,5
110,Male,66,13000.0,0.48,Healthcare,9,3
1165,Female,21,136747.0,0.03,Healthcare,1,1
1960,Female,85,155432.0,0.21,Engineer,4,6
1465,Female,86,98444.0,0.76,Entertainment,7,4
1729,Male,58,78669.0,0.75,Artist,1,7
1243,Male,88,93555.0,0.13,Artist,3,3
212,Female,0,22000.0,0.92,Artist,2,1
1768,Female,29,110309.0,0.21,Artist,6,2
1121,Female,54,165019.0,0.12,Entertainment,1,2
680,Female,89,137397.0,0.33,Doctor,1,7
1951,Male,42,68765.0,0.69,Entertainment,4,1
1839,Female,60,108509.0,0.36,Doctor,0,2
412,Female,96,113585.0,0.31,Lawyer,0,4
1325,Female,95,159010.0,0.84,Lawyer,6,2
783,Male,74,76521.0,0.29,Engineer,7,4
1346,Male,36,75178.0,0.41,Entertainment,1,7
875,Female,30,157290.0,0.22,Artist,2,2
1653,Female,25,81640.0,0.95,Entertainment,1,6
1279,Female,58,170647.0,0.7,Healthcare,1,7
786,Male,30,54251.0,0.07,Artist,2,6
1819,Male,43,103531.0,0.9,Artist,10,5
1199,Male,83,126669.0,0.53,Artist,1,6
808,Male,25,57535.0,0.84,Entertainment,1,7
713,Female,69,153217.0,0.83,Healthcare,1,6
1991,Female,30,166983.0,0.69,Artist,7,3
1660,Female,4,183282.0,0.34,Artist,1,1
1191,Male,97,142214.0,0.32,Artist,7,4
1226,Male,22,126543.0,0.45,Homemaker,0,3
603,Female,71,154007.0,0.32,Artist,7,7
271,Male,94,91000.0,0.36,Entertainment,0,4
1385,Female,50,104467.0,0.72,,5,1
232,Male,84,7000.0,0.28,Healthcare,0,4
50,Female,31,25000.0,0.42,Engineer,1,1
463,Male,93,120597.0,0.96,Artist,2,4
1106,Female,65,90414.0,0.55,Artist,1,5
856,Male,76,142801.0,0.23,Lawyer,0,1
694,Female,80,171323.0,0.78,Lawyer,10,4
1552,Male,4,131093.0,0.79,Lawyer,1,7
1873,Female,15,58459.0,0.67,Executive,0,6
527,Female,58,180479.0,0.74,Healthcare,0,3
174,Male,36,99000.0,0.92,Artist,5,2
721,Male,36,85737.0,0.37,Executive,0,3
415,Female,75,135088.0,0.05,Lawyer,1,5
238,Male,95,36000.0,0.35,,0,4
1473,Female,58,127833.0,0.02,Artist,7,7
1336,Female,75,76474.0,0.05,Doctor,5,5
1064,Female,58,173190.0,0.37,Doctor,9,4
24,Male,31,71000.0,0.73,Artist,5,2
1767,Female,43,156567.0,0.89,Engineer,7,6
64,Female,54,48000.0,0.59,Lawyer,1,2
290,Female,93,19000.0,0.58,Engineer,1,3
189,Female,41,76000.0,0.17,Engineer,8,2
702,Female,62,70119.0,0.93,Artist,0,1
1815,Male,87,115699.0,0.61,Healthcare,9,1
1138,Male,29,118092.0,1.0,Entertainment,7,3
355,Female,13,146858.0,0.75,Doctor,9,1
417,Female,86,187667.0,0.12,Artist,0,1
1246,Female,70,55875.0,0.94,Engineer,0,5
931,Male,82,114776.0,0.55,Entertainment,10,3
197,Female,45,78000.0,0.28,Artist,0,2
580,Male,83,135268.0,0.53,Lawyer,4,5
1135,Female,51,112358.0,0.27,Artist,0,6
1814,Female,29,53002.0,0.73,Lawyer,5,5
1935,Male,64,142612.0,0.58,Doctor,4,6
434,Female,25,77779.0,0.62,Artist,4,1
101,Female,23,65000.0,0.41,Artist,0,4
1655,Female,23,186723.0,0.42,Entertainment,8,5
395,Female,75,151696.0,0.82,Artist,15,1
1939,Male,76,132537.0,0.44,Doctor,5,3
221,Female,39,84000.0,0.33,Artist,5,3
1676,Female,51,135164.0,0.75,Artist,9,3
1498,Male,33,157358.0,0.52,Healthcare,7,4
1785,Female,1,89473.0,0.85,Lawyer,10,4
345,Female,4,148431.0,0.99,Healthcare,1,8
1028,Male,93,88811.0,0.52,Engineer,0,4
889,Female,63,78971.0,0.89,Engineer,1,2
1351,Male,68,135076.0,0.6,Engineer,1,5
553,Female,7,148607.0,0.59,Homemaker,1,7
744,Female,30,140190.0,0.49,Engineer,1,4
1542,Male,50,187545.0,0.61,Executive,4,6
539,Male,91,71925.0,0.14,Artist,4,2
907,Female,17,116463.0,1.0,Artist,8,4
1395,Female,48,151519.0,0.93,Artist,7,2
116,Female,19,51000.0,0.5,Executive,8,4
830,Male,67,67372.0,0.75,Artist,0,7
1938,Male,54,166183.0,0.65,Artist,7,6
809,Female,61,163509.0,0.51,Healthcare,0,4
1311,Male,80,84471.0,0.79,Doctor,1,5
1005,Male,67,119625.0,0.03,Healthcare,4,4
306,Female,65,180243.0,0.26,Marketing,6,2
1101,Female,27,156258.0,0.54,Entertainment,0,4
480,Male,7,134008.0,0.85,Entertainment,2,1
1424,Female,53,145678.0,0.55,Executive,0,1
1076,Female,95,67398.0,0.81,Entertainment,2,5
571,Male,65,90084.0,0.65,Artist,1,6
619,Male,38,103356.0,0.2,Marketing,1,6
1898,Female,30,84885.0,0.09,Entertainment,6,5
1266,Male,63,77440.0,0.47,Lawyer,0,5
79,Female,23,97000.0,0.52,Engineer,2,2
1912,Female,8,59116.0,0.45,Artist,10,6
33,Male,53,59000.0,0.04,Healthcare,1,3
1538,Female,90,70030.0,0.86,Healthcare,1,2
1034,Female,96,168990.0,0.81,Doctor,9,5
1563,Female,0,94014.0,0.53,Engineer,9,5
352,Male,99,173394.0,0.04,Engineer,13,1
164,Female,31,58000.0,0.93,Healthcare,1,5
204,Female,76,60000.0,0.39,Healthcare,4,2
1054,Female,72,111587.0,0.99,Artist,7,4
1365,Male,14,87222.0,0.14,Healthcare,8,4
1967,Male,65,134213.0,0.32,Homemaker,8,4
496,Female,85,179877.0,0.17,Healthcare,12,4
1625,Female,18,174836.0,0.63,Healthcare,0,4
1966,Female,46,114435.0,0.34,Artist,8,3
1963,Male,70,124359.0,0.51,Homemaker,7,7
611,Male,94,90082.0,0.17,Artist,5,7
433,Female,23,50076.0,0.32,Artist,3,5
1492,Female,28,96207.0,0.67,Artist,5,5
219,Female,66,71000.0,0.34,Executive,9,2
1931,Male,72,182317.0,0.46,Healthcare,8,6
1466,Male,60,179503.0,0.09,Artist,4,3
631,Male,63,113605.0,0.42,Artist,3,3
1382,Female,62,89801.0,0.88,Artist,5,4
1302,Female,77,81112.0,0.61,Healthcare,5,3
60,Male,53,89000.0,0.46,Lawyer,1,6
299,Male,17,79000.0,0.16,Artist,1,3
1711,Female,75,116813.0,0.72,Entertainment,10,6
74,Female,60,10000.0,0.56,Healthcare,8,4
163,Male,19,35000.0,0.05,Executive,0,5
1275,Male,18,157757.0,0.84,Doctor,0,4
1594,Female,80,104820.0,0.96,Artist,2,4
1434,Female,14,76001.0,0.46,Artist,7,3
1613,Female,14,177701.0,0.49,Entertainment,0,6
592,Female,73,102296.0,0.31,Entertainment,7,5
317,Female,54,132046.0,0.08,Homemaker,4,4
46,Female,24,3000.0,0.65,Lawyer,4,2
1720,Female,48,74308.0,0.23,Entertainment,1,2
1832,Female,84,99418.0,0.27,Artist,4,2
428,Male,31,158479.0,0.57,Doctor,1,5
582,Female,33,111191.0,0.67,Artist,9,4
77,Female,45,67000.0,0.53,Doctor,0,2
1917,Female,78,112887.0,0.8,Entertainment,9,6
1415,Male,93,121513.0,0.9,Engineer,0,6
781,Female,10,148908.0,0.1,Healthcare,2,3
1920,Female,36,140637.0,0.19,Executive,8,7
1174,Female,32,66089.0,0.75,Artist,6,3
1320,Female,48,118285.0,0.69,Doctor,8,4
938,Female,99,56851.0,0.72,Entertainment,6,3
31,Male,60,39000.0,0.04,Artist,0,3
1092,Female,41,94316.0,0.86,Artist,0,6
1616,Female,53,146877.0,0.47,Healthcare,4,3
1230,Female,95,84925.0,0.46,Artist,4,6
975,Male,80,95929.0,0.23,Engineer,0,2
1085,Female,38,52884.0,0.24,Lawyer,1,1
515,Male,81,83771.0,0.01,Artist,1,2
1551,Female,16,95365.0,0.6,Artist,0,5
1568,Female,38,181108.0,0.32,Homemaker,1,1
1811,Male,94,65483.0,0.84,Marketing,10,7
1574,Female,59,163179.0,0.19,Healthcare,1,7
45,Female,49,72000.0,0.28,Engineer,8,1
1687,Female,67,146016.0,0.38,Artist,1,6
169,Female,36,57000.0,0.27,Artist,0,3
304,Female,38,148539.0,0.07,Healthcare,5,2
991,Female,92,114571.0,0.51,Executive,1,3
556,Male,89,57033.0,0.99,Artist,0,4
1925,Female,94,69654.0,0.3,Homemaker,4,4
608,Female,96,145457.0,0.57,Executive,2,1
1619,Female,64,115754.0,0.35,Engineer,1,3
758,Female,83,118110.0,0.26,Engineer,1,5
439,Male,37,153399.0,0.93,Entertainment,1,6
583,Female,13,144111.0,0.62,Entertainment,12,5
1519,Male,2,72889.0,0.36,Homemaker,5,7
528,Male,97,112783.0,0.21,Artist,9,6
343,Male,22,107941.0,0.61,Artist,0,1
1737,Male,62,120838.0,0.79,Artist,1,4
368,Female,93,103130.0,0.74,Executive,12,3
186,Male,30,72000.0,0.97,Artist,6,2
1117,Male,13,100647.0,0.49,Executive,1,3
1755,Female,6,122961.0,0.47,Doctor,8,2
1426,Female,50,136660.0,0.48,Entertainment,1,3
301,Male,85,153787.0,1.0,Entertainment,3,3
1904,Male,85,74081.0,0.87,Healthcare,4,3
833,Female,40,124982.0,0.34,Engineer,1,7
544,Female,6,170266.0,0.23,Artist,3,2
1601,Female,24,51661.0,0.79,Entertainment,0,7
351,Female,92,67850.0,0.91,Artist,9,4
1933,Female,23,59905.0,0.79,,7,5
1511,Male,38,174594.0,0.56,Executive,8,2
979,Female,66,151184.0,0.19,Artist,1,4
176,Female,30,28000.0,0.86,Artist,3,4
483,Male,76,155622.0,0.81,Healthcare,0,2
1413,Male,20,106941.0,0.73,Artist,1,1
1611,Male,87,149685.0,0.3,Executive,9,6
124,Male,39,6000.0,0.91,Healthcare,1,3
600,Male,62,71795.0,0.87,Healthcare,8,1
1795,Female,8,141359.0,0.65,Healthcare,4,5
1746,Female,66,127410.0,0.37,Engineer,8,2
1379,Male,97,117777.0,0.67,Artist,5,5
1186,Male,65,54431.0,0.93,Healthcare,1,7
486,Male,22,58283.0,0.59,Homemaker,2,4
332,Female,4,93713.0,0.62,Engineer,3,4
789,Female,23,84793.0,0.23,Homemaker,9,6
195,Female,47,8000.0,0.16,Artist,7,2
638,Female,26,113707.0,0.97,Entertainment,0,5
472,Male,91,93762.0,0.28,Artist,15,7
1714,Male,67,86289.0,0.96,Artist,1,5
323,Female,89,110667.0,1.0,Healthcare,2,4
1197,Female,54,70803.0,0.35,Entertainment,0,5
267,Female,40,28000.0,0.68,Artist,1,1
1544,Female,13,174530.0,0.3,Lawyer,1,6
1804,Female,18,62151.0,0.18,Artist,8,2
68,Female,68,82000.0,0.48,Artist,8,4
1738,Male,94,127927.0,0.48,Doctor,0,4
1593,Male,44,145520.0,0.55,Homemaker,1,7
1564,Female,56,138864.0,0.93,Artist,0,5
481,Female,13,176397.0,0.71,Artist,6,3
1757,Male,69,76155.0,0.14,Healthcare,8,7
1913,Female,92,174786.0,0.94,Executive,4,3
1441,Male,58,85908.0,0.99,Artist,5,4
1461,Female,88,139806.0,0.99,Entertainment,4,4
888,Female,92,78308.0,0.66,Executive,5,2
423,Female,35,96484.0,0.34,Artist,5,4
1675,Female,13,132374.0,0.96,Marketing,0,3
1450,Female,84,97931.0,0.7,Healthcare,9,7
765,Male,12,101388.0,0.9,Artist,0,2
520,Female,53,140107.0,0.38,Healthcare,1,5
1432,Male,89,127479.0,0.18,Doctor,10,2
614,Female,52,93947.0,0.81,Healthcare,9,2
1531,Male,43,85347.0,0.09,Doctor,1,1
1783,Female,8,168723.0,0.31,Homemaker,7,2
1659,Male,81,171194.0,0.55,Artist,0,5
454,Female,48,123234.0,0.5,Lawyer,10,7
731,Male,60,185794.0,0.69,Entertainment,7,1
535,Female,87,77709.0,0.73,Artist,0,1
966,Male,59,161091.0,0.56,Engineer,9,1
1285,Female,81,142013.0,0.81,Entertainment,3,4
1740,Female,53,145498.0,0.66,Artist,8,4
262,Female,52,35000.0,0.85,Doctor,2,6
536,Female,22,95053.0,0.17,Entertainment,1,2
